,Rank,Company Name,Number of Employees,Change in Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions),Market Value As of 3/31/20 ($m),Sector,Industry,City,State,Latitude,Longitude
0,1,Walmart,"2,200,000",-,"$523,964 ",1.90%,"$14,881.00 ",123.10%,"$236,495 ","$321,803 ",Retailing,General Merchandisers,Bentonville,AR,36.372853799999994,-94.2088172
1,2,Amazon.com,"798,000",3,"$280,522 ",20.50%,"$11,588.00 ",15.00%,"$225,248 ","$970,680 ",Retailing,Internet Services and Retailing,Seattle,WA,47.6062095,-122.33207079999998
2,3,Exxon Mobil,"74,900",-1,"$264,938 ",-8.70%,"$14,340.00 ",-31.20%,"$362,597 ","$160,696 ",Energy,Petroleum Refining,Irving,TX,32.814017699999994,-96.9488945
3,4,Apple,"137,000",-1,"$260,174 ",-2.00%,"$55,256.00 ",-7.20%,"$338,516 ","$1,112,641 ",Technology,"Computers, Office Equipment",Cupertino,CA,37.322997799999996,-122.03218229999999
4,5,CVS Health,"290,000",3,"$256,776 ",32.00%,"$6,634.00 ",-,"$222,449 ","$77,376 ",Health Care,Health Care: Pharmacy and Other Services,Woonsocket,RI,42.0028761,-71.5147839
5,6,Berkshire Hathaway,"391,500",-2,"$254,616 ",2.70%,"$81,417.00 ",1924.80%,"$817,729 ","$442,897 ",Financials,Insurance: Property and Casualty (Stock),Omaha,NE,41.2565369,-95.93450340000001
6,7,UnitedHealth Group,"325,000",-1,"$242,155 ",7.00%,"$13,839.00 ",15.50%,"$173,889 ","$236,555 ",Health Care,Health Care: Insurance and Managed Care,Minnetonka,MN,44.9211836,-93.46874890000001
7,8,McKesson,"70,000",-1,"$214,319 ",2.90%,$34.00 ,-49.30%,"$59,672 ","$21,845 ",Wholesalers,Wholesalers: Health Care,SF,CA,37.7749295,-122.4194155
8,9,AT&T,"247,800",-,"$181,193 ",6.10%,"$13,903.00 ",-28.20%,"$551,669 ","$209,388 ",Telecommunications,Telecommunications,Dallas,TX,32.7766642,-96.7969879
9,10,AmerisourceBergen,"21,500",-,"$179,589 ",6.90%,$855.40 ,-48.40%,"$39,172 ","$18,221 ",Wholesalers,Wholesalers: Health Care,Chesterbrook,PA,40.0756627,-75.4590816
